0.754,0.879406181383605,0.332,0.422,0.0890633829259087
0.456,0.516478307992576,0.181,0.275,0.0576341446933696
0.589,0.548101334384602,0.149,0.44,0.0731440003778131
0.763,0.922884130178346,0.47,0.293,0.0680920987290934
1.062,1.31860260941669,0.548,0.514,0.0578909208553893
0.224,0.0301002540451892,-0.331,0.555,0.0701834408533304
-0.032,-0.622989212398919,-0.829,0.797,0.107192937671381
87.312,-0.847466572040699,-29.5,116.812,14.2793008718513
88.312,-1.68400430338019,-50.375,138.687,17.1289977425363
51.5,-1.0611127295812,-31.25,82.75,9.11932295120364
