0.194,0.314,0.298,0.348,0.502,0.664,0.842,134.312,143.687,102
0.437,0.345,0.368,0.207,0.574,0.73,0.843,95.312,169.312,163.75
0.243,0.216,0.321,0.242,0.526,0.635,0.844,129.062,187.313,105.438
0.204,0.295,0.362,0.401,0.755,0.784,0.715,98.812,128.937,98
0.273,0.322,0.261,0.243,0.575,0.723,0.542,226,163.376,113.874
0.274,0.193,0.34,0.258,0.6,0.471,0.821,108.313,165.812,63.063
1.637,1.16,1.141,1.864,0.669,0.92,0.82,237.376,120.624,105.188
0.218,0.306,0.242,0.301,0.29,0.447,0.515,81.25,99.624,100.5
0.232,0.281,0.322,0.259,0.629,0.639,0.655,122.624,154.5,137.625
0.218,0.339,0.216,0.209,0.499,0.683,0.625,108.062,102.625,88
