-0.51,-0.279,0.394,0.712,0.853,0.023,-0.514,1.875,1.562,-0.562
-0.51,-0.281,0.393,0.712,0.909,-0.035,-0.53,6.438,6.375,4.25
-0.509,-0.283,0.393,0.711,0.862,0.022,-0.5,7.938,8.375,7.75
-0.508,-0.287,0.393,0.711,0.91,0.001,-0.486,12.625,11,13.438
-0.507,-0.289,0.392,0.711,0.881,0.043,-0.474,11.75,7.625,12.75
-0.506,-0.294,0.391,0.711,0.959,-0.03,-0.49,15.625,8.312,15.5
-0.505,-0.297,0.389,0.71,0.881,-0.001,-0.5,21.688,5.75,15.062
-0.505,-0.302,0.387,0.71,0.854,0.007,-0.498,28.688,9.312,16.875
-0.505,-0.309,0.385,0.708,0.924,-0.027,-0.444,33.25,10.25,16.188
-0.505,-0.315,0.383,0.707,0.944,-0.045,-0.442,34.562,8,15.5
-0.506,-0.32,0.378,0.706,0.876,-0.007,-0.51,40.062,0.75,18.125
-0.506,-0.326,0.374,0.705,0.885,-0.031,-0.506,42.375,3.438,19.438
-0.507,-0.334,0.369,0.704,0.86,-0.095,-0.449,45,2.625,20.875
-0.506,-0.34,0.366,0.703,0.879,-0.141,-0.378,34.875,2.812,18.625
-0.506,-0.345,0.362,0.703,0.862,-0.1,-0.451,29.875,-0.375,19.5
-0.505,-0.349,0.359,0.703,0.9,-0.139,-0.432,25.188,-0.5,16.625
-0.505,-0.354,0.357,0.702,0.875,-0.174,-0.417,20.438,5.25,11.438
-0.505,-0.357,0.354,0.702,0.899,-0.148,-0.411,19.875,-6.75,12.875
-0.505,-0.359,0.351,0.702,0.87,-0.174,-0.448,11.562,-4.25,8.875
-0.504,-0.36,0.35,0.703,0.855,-0.165,-0.43,6.5,-3.562,6.062
-0.505,-0.36,0.348,0.703,0.889,-0.157,-0.441,4.25,-10.062,4.938
-0.504,-0.361,0.347,0.704,0.867,-0.182,-0.434,1,-4.062,4.125
-0.504,-0.36,0.346,0.705,0.854,-0.187,-0.428,-3.812,-10.125,2.062
-0.504,-0.359,0.344,0.706,0.832,-0.182,-0.459,-6,-9.75,2
-0.504,-0.358,0.344,0.707,0.856,-0.181,-0.437,-9.688,-5.812,1.625
-0.503,-0.355,0.345,0.708,0.864,-0.162,-0.402,-16.625,-9.25,0.688
-0.503,-0.352,0.345,0.71,0.869,-0.149,-0.438,-20.688,-13.25,-0.312
