0.043,0.121,-0.558,-0.82,0.949,-0.167,-0.292,-17.438,-11.375,-15.375
0.044,0.117,-0.557,-0.821,0.914,-0.136,-0.27,-19.375,-9.25,-20.562
0.046,0.112,-0.556,-0.822,0.928,-0.111,-0.323,-18.125,-7.375,-24.375
0.048,0.107,-0.556,-0.823,0.911,-0.087,-0.33,-19.5,-5,-23.75
0.05,0.102,-0.556,-0.823,0.924,-0.062,-0.33,-14.812,-1.438,-22.875
0.052,0.098,-0.556,-0.823,0.924,-0.078,-0.346,-12.562,0.5,-17.875
0.054,0.095,-0.556,-0.824,0.929,-0.061,-0.34,-12.125,-2.188,-17.938
0.056,0.092,-0.556,-0.824,0.914,-0.05,-0.341,-9.375,-2.625,-17.125
0.057,0.089,-0.556,-0.825,0.917,-0.047,-0.33,-7.25,-4.562,-12.75
0.058,0.087,-0.555,-0.825,0.936,-0.043,-0.332,-5.062,-4.375,-9.438
0.06,0.086,-0.554,-0.826,0.911,-0.036,-0.337,-3.938,-4.875,-8.312
0.061,0.084,-0.553,-0.826,0.92,-0.029,-0.338,-2,-7.062,-7.312
0.062,0.083,-0.552,-0.827,0.922,-0.046,-0.322,-2.125,-9.938,-5.812
0.063,0.083,-0.55,-0.829,0.94,-0.056,-0.322,-1,-14.625,-5.562
0.064,0.082,-0.549,-0.829,0.922,-0.06,-0.316,-1.688,-9.188,-4.25
0.065,0.081,-0.548,-0.83,0.93,-0.038,-0.33,-3.562,-12.375,-4.062
0.065,0.08,-0.546,-0.831,0.935,-0.047,-0.33,-4.562,-11.125,-0.688
0.065,0.079,-0.545,-0.832,0.934,-0.043,-0.343,-6.5,-10.938,0.625
0.065,0.078,-0.543,-0.834,0.934,-0.023,-0.355,-5.875,-12.312,-0.25
0.064,0.078,-0.542,-0.835,0.95,-0.042,-0.343,-6.625,-11.625,3.375
0.063,0.077,-0.541,-0.835,0.934,-0.035,-0.354,-7.25,-5.812,4.875
0.062,0.076,-0.54,-0.836,0.943,-0.028,-0.359,-6.25,-5.625,6.5
0.061,0.076,-0.54,-0.836,0.973,-0.053,-0.349,-5.812,-6.188,7.312
0.059,0.076,-0.539,-0.837,0.963,-0.063,-0.352,-6.875,-5.688,7.938
0.057,0.076,-0.538,-0.838,0.96,-0.061,-0.351,-7.875,-8.875,9.062
0.055,0.076,-0.537,-0.838,0.951,-0.062,-0.358,-8,-5.312,11.312
0.053,0.076,-0.537,-0.839,0.937,-0.073,-0.363,-8.625,-3.375,10.438
0.051,0.075,-0.537,-0.839,0.926,-0.064,-0.365,-9.125,-0.938,9.25
0.049,0.075,-0.537,-0.839,0.95,-0.078,-0.356,-9.312,-0.438,9.938
0.047,0.075,-0.537,-0.839,0.946,-0.085,-0.366,-9.312,1.75,9.125
0.045,0.075,-0.537,-0.839,0.929,-0.079,-0.371,-9.812,-0.688,7.938
0.043,0.074,-0.537,-0.839,0.932,-0.076,-0.373,-7.688,-1.188,7.375
0.042,0.074,-0.536,-0.84,0.894,-0.065,-0.373,-7,-2.25,3.75
0.041,0.074,-0.536,-0.84,0.902,-0.075,-0.363,-5.938,-0.875,5.125
0.039,0.074,-0.536,-0.84,0.927,-0.093,-0.37,-6.5,2.375,9.375
0.037,0.074,-0.536,-0.84,0.937,-0.084,-0.354,-7.438,-0.562,10.438
0.036,0.074,-0.536,-0.84,0.919,-0.084,-0.368,-5.812,-3,9.375
0.034,0.074,-0.535,-0.841,0.903,-0.094,-0.375,-6.25,-5.562,6.812
0.032,0.074,-0.534,-0.842,0.907,-0.108,-0.356,-6.188,-4.25,9.625
0.03,0.075,-0.534,-0.841,0.904,-0.097,-0.347,-7.688,0.562,11.125
0.028,0.074,-0.535,-0.841,0.929,-0.083,-0.35,-7.812,0.688,8.562
0.027,0.074,-0.534,-0.842,0.928,-0.09,-0.361,-7.125,-3.188,6.625
0.026,0.074,-0.534,-0.842,0.893,-0.084,-0.359,-7.062,-4.812,5.75
0.025,0.073,-0.533,-0.843,0.892,-0.079,-0.366,-6.25,-2.375,5.75
0.023,0.073,-0.534,-0.842,0.899,-0.098,-0.348,-5.375,3.062,6.688
0.022,0.073,-0.534,-0.842,0.937,-0.099,-0.351,-6,3.438,4.438
0.022,0.073,-0.535,-0.842,0.927,-0.091,-0.361,-5.312,1.688,2.5
0.021,0.073,-0.534,-0.842,0.943,-0.098,-0.347,-4,-4.75,2
0.021,0.072,-0.534,-0.842,0.93,-0.103,-0.36,-3.25,-4.25,1.125
0.021,0.072,-0.534,-0.842,0.915,-0.109,-0.379,-2.938,-1,0.125
0.02,0.072,-0.534,-0.842,0.944,-0.106,-0.367,-1.938,2.312,0.875
0.021,0.073,-0.535,-0.842,0.951,-0.104,-0.369,0.688,2.125,-0.562
0.021,0.073,-0.535,-0.842,0.953,-0.106,-0.367,2.25,-1.562,-1
0.022,0.074,-0.535,-0.841,0.933,-0.1,-0.355,3.062,-0.062,-0.5
0.022,0.075,-0.535,-0.841,0.918,-0.094,-0.373,5.312,1.812,-1.125
0.023,0.075,-0.535,-0.841,0.933,-0.102,-0.368,5.875,2.312,-1.5
0.025,0.077,-0.535,-0.841,0.927,-0.085,-0.378,9.375,0.188,-1.25
0.026,0.078,-0.535,-0.841,0.924,-0.087,-0.379,11,-1.5,-2
0.028,0.08,-0.535,-0.841,0.917,-0.093,-0.374,12.938,-2.625,-1.812
0.029,0.082,-0.535,-0.841,0.904,-0.099,-0.378,14.688,1.25,-0.188
0.031,0.084,-0.534,-0.84,0.904,-0.101,-0.393,16.812,0.625,-0.938
0.033,0.087,-0.534,-0.84,0.914,-0.116,-0.384,17.625,-1.875,-0.812
0.034,0.09,-0.533,-0.841,0.906,-0.134,-0.375,17.438,-5,1.562
0.036,0.093,-0.532,-0.841,0.899,-0.13,-0.39,18.75,-5.438,2.562
0.037,0.096,-0.53,-0.841,0.89,-0.125,-0.388,17.688,-6.125,2.812
0.039,0.099,-0.529,-0.842,0.899,-0.127,-0.375,17.938,-9,5.125
0.04,0.103,-0.527,-0.843,0.896,-0.125,-0.399,20,-7.125,6.688
0.041,0.107,-0.526,-0.843,0.905,-0.128,-0.401,22.125,-8.688,7.188
0.042,0.111,-0.523,-0.844,0.907,-0.141,-0.384,23.188,-11.688,8.375
0.043,0.116,-0.521,-0.844,0.893,-0.158,-0.381,23.188,-10.75,10.438
0.044,0.12,-0.52,-0.845,0.897,-0.159,-0.394,24.5,-9,12
0.045,0.125,-0.517,-0.845,0.917,-0.162,-0.417,25.062,-11.438,12.125
0.046,0.13,-0.515,-0.846,0.936,-0.179,-0.416,24.625,-9.688,11.5
0.046,0.134,-0.514,-0.846,0.981,-0.188,-0.438,25.625,-8.25,12.688
0.048,0.139,-0.512,-0.846,0.999,-0.173,-0.449,26.25,-7.25,8.438
0.05,0.143,-0.511,-0.846,1.018,-0.161,-0.421,27,-7.312,4.688
