0.885,0.726,0.408,-0.039,1.16,0.125,0.25,103,90.375,74.5
-0.211,0.141,-0.245,-0.54,1.209,0.128,0.114,86.938,149.062,91.062
0.9,0.659,0.513,0.334,1.35,0.183,0.178,99.438,157.438,81.5
-0.699,-0.41,0.003,0.304,1.43,0.158,0.195,74.812,102,67.688
0.647,0.027,0.628,-0.494,-0.551,0.1,0.065,100.938,50.375,76.375
0.28,0.453,-0.321,-0.702,1.299,0.197,0.037,90.125,98,43.188
0.947,0.62,0.603,0.931,1.7,0.343,0.048,138.688,103.5,73.875
-0.41,-0.295,0.448,0.754,1.092,0.085,-0.038,75.062,88.188,56.062
-0.377,-0.332,0.506,0.69,1.28,0.119,0.302,85.75,92.625,61.938
-0.291,-0.243,0.476,0.785,1.288,0.043,0.037,90.312,145.75,73.312
