0.878,0.717,0.203,-0.043,1.125,0.1,0.141,86.812,93.312,48.625
-0.187,-0.006,-0.341,-0.61,1.117,0.167,0.148,59,121.25,53.625
0.883,0.633,0.41,0.314,1.143,0.122,0.251,60.062,102.438,47.688
-0.649,-0.452,0.003,0.273,1.283,0.029,0.256,48.812,58.375,49.812
0.642,-0.11,0.59,-0.48,-0.58,0.17,0.02,100.375,43.188,65.812
0.238,0.22,-0.329,-0.685,1.166,0.171,0.056,60.125,116.562,26.375
0.937,0.575,0.564,0.921,1.099,0.099,-0.126,117.188,50.312,50.188
-0.447,-0.31,0.451,0.717,1.072,0.061,-0.038,43.062,49.812,49.375
-0.393,-0.354,0.504,0.678,1.151,0.108,0.328,55.812,74.125,59.75
-0.351,-0.244,0.456,0.777,1.16,0.04,0.062,41,48.625,42.5
