0.684,0.403,-0.095,-0.391,0.623,-0.564,-0.701,-47.5,-50.375,-53.375
-0.624,-0.351,-0.709,-0.817,0.543,-0.563,-0.695,-36.312,-48.062,-110.125
0.64,0.417,0.089,0.072,0.617,-0.513,-0.593,-69,-84.875,-57.75
-0.853,-0.747,-0.359,-0.128,0.528,-0.755,-0.459,-50,-70.562,-48.188
0.369,-0.432,0.329,-0.723,-1.155,-0.553,-0.522,-125.625,-120.188,-48.062
-0.036,0.027,-0.669,-0.943,0.566,-0.3,-0.765,-48.188,-49.25,-36.688
-0.7,-0.585,-0.577,-0.943,0.43,-0.821,-0.946,-120.188,-70.312,-55
-0.665,-0.616,0.209,0.416,0.782,-0.386,-0.553,-38.188,-49.812,-51.125
-0.625,-0.635,0.182,0.419,0.522,-0.531,-0.327,-66.812,-80.375,-77.875
-0.569,-0.583,0.24,0.568,0.661,-0.643,-0.563,-67.062,-54,-45.5
