0.194,0.314,0.298,0.348,0.502,0.664,0.842,134.312,143.687,102
0.437,0.345,0.368,0.207,0.574,0.73,0.843,95.312,169.312,163.75
0.243,0.216,0.321,0.242,0.526,0.635,0.844,129.062,187.313,105.438
0.204,0.295,0.362,0.401,0.755,0.784,0.715,98.812,128.937,98
0.273,0.322,0.261,0.243,0.575,0.723,0.542,226,163.376,113.874
0.274,0.193,0.34,0.258,0.6,0.471,0.821,108.313,165.812,63.063
1.637,1.16,1.141,1.864,0.669,0.92,0.82,237.376,120.624,105.188
0.218,0.306,0.242,0.301,0.29,0.447,0.515,81.25,99.624,100.5
0.232,0.281,0.322,0.259,0.629,0.639,0.655,122.624,154.5,137.625
0.218,0.339,0.216,0.209,0.499,0.683,0.625,108.062,102.625,88
0.299,0.256,0.363,0.351,0.485,0.491,0.808,132.874,194.312,103.563
0.396,0.276,0.179,0.225,0.991,0.9,0.584,94,181.376,131.5
0.261,0.272,0.271,0.306,0.928,1.292,0.974,170.563,338,327.626
0.299,0.436,0.175,0.253,0.859,1.158,0.913,204.687,216.625,146.624
0.363,0.266,0.255,0.158,0.484,0.624,0.725,100.874,117.125,89.75
0.23,0.357,0.225,0.185,0.546,0.629,0.554,147.75,132.313,110.125
0.17,0.371,0.236,0.325,0.663,0.553,0.736,160.563,209.688,102
0.186,0.267,0.254,0.265,0.457,0.418,0.666,125.626,133.625,76.875
0.449,0.279,0.291,0.389,0.285,0.615,0.477,80.624,99.687,86.312
0.231,0.189,0.276,0.302,0.558,0.669,0.391,122.187,120.687,111.312
0.225,0.306,0.322,0.408,0.808,0.734,0.716,134,180.5,119.187
0.446,0.353,0.295,0.155,0.822,0.847,0.64,138.312,161.062,124.687
0.149,0.338,0.2,0.482,0.492,0.538,0.758,127.187,139,74.624
0.224,0.291,0.153,0.326,0.459,0.487,0.766,128.125,120.813,102.25
0.422,0.275,0.44,0.293,0.514,0.555,0.797,116.812,138.687,82.75
0.352,0.259,0.346,0.452,0.358,0.429,0.561,160.063,103.124,80.188
0.192,0.301,0.284,0.455,1.13,0.788,1.004,131.188,201.562,147.75
0.738,0.424,0.416,0.465,0.641,1.024,0.773,168.313,202.374,240
