0.625,0.382,-0.148,-0.427,0.318,-0.9,-0.923,-164.5,-98.188,-91.438
-0.725,-0.32,-0.685,-0.854,0.37,-0.793,-0.882,-120.812,-165.125,-109.938
0.64,0.295,0.089,0.012,0.543,-0.99,-0.942,-132.75,-155.875,-62.438
-0.851,-0.708,-0.476,-0.093,0.408,-1.205,-0.459,-74.938,-83.562,-63.25
0.349,-0.425,0.326,-0.722,-1.302,-0.6,-0.863,-138.312,-147.688,-65.188
-0.066,-0.014,-0.62,-0.944,0.526,-0.565,-0.968,-118.438,-158.75,-50.375
-0.696,-0.62,-0.563,-0.956,0.228,-0.914,-1.279,-168.188,-84.688,-83.312
-0.666,-0.616,0.153,0.41,0.695,-0.549,-0.625,-96.812,-53.5,-77.062
-0.631,-0.706,0.078,0.419,0.644,-0.62,-0.508,-95.438,-70.375,-93.562
-0.564,-0.625,0.158,0.551,0.51,-0.764,-0.586,-96.5,-103.688,-123.688
-0.904,-0.564,-0.479,-0.489,0.336,-0.502,-1.062,-64.375,-106.438,-46.312
-0.452,-0.527,0.271,0.6,0.55,-0.806,-0.536,-87.938,-90.062,-129.5
0.04,0.095,-0.664,-0.89,0.461,-0.892,-0.941,-117.625,-179.625,-78.875
0.08,-0.026,-0.617,-0.89,-0.471,-0.523,-1.208,-168,-149.875,-88.812
-0.275,-0.061,-0.678,-0.889,0.533,-0.891,-0.982,-120.875,-161.75,-86.75
0.315,-0.034,0.372,0.568,0.54,-0.566,-0.588,-104.938,-59.125,-76.375
-0.956,-0.593,-0.421,-0.083,0.281,-0.726,-1.123,-164.812,-143.75,-79.75
0.721,0.339,-0.032,-0.229,0.522,-0.718,-0.907,-73.688,-68.5,-49.75
0.327,0.328,-0.446,-0.716,0.737,-0.66,-0.521,-64.062,-69.625,-49.312
0.479,0.414,-0.374,-0.623,0.677,-0.901,-0.543,-92.125,-97.812,-70.062
0.595,0.366,-0.35,-0.565,0.578,-0.599,-0.66,-75.75,-84.375,-67.938
-0.314,-0.291,-0.677,-0.97,0.236,-1.729,-1.032,-122.25,-125.938,-192.188
0.717,0.266,-0.159,-0.435,0.512,-0.405,-0.957,-104.938,-90.125,-50.312
0.567,0.382,-0.224,-0.572,0.194,-0.664,-1.238,-104.875,-116.25,-69.562
0.372,-0.134,0.083,0.466,0.438,-2.096,-1.054,-168.25,-65.812,-96.312
0.473,0.138,0.059,0.159,0.587,-0.404,-0.913,-133.688,-92.75,-69.875
0.652,0.307,-0.062,-0.318,0.126,-1.771,-1.13,-193.625,-143.875,-162.312
0.006,0.033,-0.486,-0.944,-0.232,-0.756,-1.158,-125.312,-101.688,-114.438
