0.26,0.344,0.556,0.388,0.842,1.025,1.173,267.5,188.563,165.938
0.514,0.461,0.44,0.314,0.839,0.921,0.996,207.75,314.187,201
0.26,0.364,0.424,0.322,0.807,1.173,1.12,232.188,313.313,143.938
0.152,0.298,0.479,0.397,1.022,1.363,0.654,149.75,185.562,130.938
0.298,0.452,0.302,0.228,0.751,0.7,0.928,239.25,198.063,141.563
0.346,0.467,0.299,0.242,0.773,0.762,1.005,208.563,256.75,93.563
1.643,1.24,1.166,1.887,1.472,1.257,1.327,306.876,188.188,157.187
0.256,0.321,0.295,0.344,0.397,0.634,0.587,171.874,141.688,133.124
0.254,0.374,0.428,0.271,0.636,0.739,0.81,181.188,163,155.5
0.273,0.382,0.318,0.234,0.778,0.807,0.623,186.812,249.438,197
0.294,0.284,0.41,0.284,1.272,0.722,1.023,143.125,214.376,100.312
0.382,0.397,0.327,0.246,0.764,0.992,0.582,167.313,204.75,232.25
0.355,0.418,0.276,0.298,1.275,1.081,1.208,266.625,388.25,157.813
0.362,0.474,0.229,0.259,2.039,1.356,1.265,323.75,499.687,192.062
0.33,0.436,0.279,0.166,0.913,0.866,1.015,222.187,272,147
0.269,0.401,0.225,0.21,0.668,0.705,0.524,181.75,160.437,150.937
0.165,0.373,0.611,0.452,1.071,1.059,0.938,298.374,272,136.25
0.209,0.331,0.399,0.258,0.562,0.735,0.905,154.563,163.125,97.938
0.44,0.312,0.402,0.384,0.481,0.699,0.596,118.312,136.625,136.187
0.247,0.209,0.256,0.317,0.52,1.072,0.672,167.687,189.874,199.874
0.213,0.285,0.468,0.409,0.764,1.049,0.761,135.062,204.563,119.876
0.48,0.713,0.48,0.259,1.439,2.374,1.051,230.5,291.438,345.75
0.236,0.42,0.378,0.548,0.704,0.566,1.024,192.75,223.813,127.937
0.236,0.315,0.306,0.329,1.308,0.86,1.568,195.875,239.938,163.374
0.434,0.59,0.567,0.309,0.635,3.075,1.041,297.938,186.124,245.062
0.436,0.378,0.499,0.544,0.652,0.683,0.818,290.126,174.25,133.313
0.293,0.379,0.684,0.532,1.585,2.268,1.438,374.125,397.75,280.5
0.786,0.578,0.551,0.518,1.68,1.227,1.059,246.374,272.063,244.376
